dp_RecordID,Donation Date,Amount,Payment Type,Item Number,Statement Title,Donation ID,Donor ID,Batch ID,Unnamed: 15,data_flag
1361247,2026-01-26,46.00,ACH/EFT,ACH,Tithes - Impact Church,1078815,21651,19940,,valid
1361270,2026-01-26,138.00,ACH/EFT,ACH,Tithes - Impact Church,1078838,24211,19940,,valid
1361249,2026-01-26,55.00,ACH/EFT,ACH,Tithes - Impact Church,1078817,29664,19940,,valid
1361216,2026-01-26,68.00,ACH/EFT,ACH,Offering - Impact Church,1078784,23125,19940,,valid
1361210,2026-01-26,0.40,ACH/EFT,ACH,Credit Card Processing Fees,1078778,31953,19940,,valid
1361237,2026-01-26,25.00,ACH/EFT,ACH,Tithes - Impact Church,1078805,29439,19940,,valid
1361215,2026-01-26,232.00,ACH/EFT,ACH,Tithes - Impact Church,1078783,23125,19940,,valid
1361232,2026-01-26,180.00,ACH/EFT,ACH,Tithes - Impact Church,1078800,31931,19940,,valid
1361262,2026-01-26,20.00,ACH/EFT,ACH,Tithes - Impact Church,1078830,17790,19940,,valid
1361170,2026-01-26,200.00,ACH/EFT,ACH,Tithes - Impact Church,1078738,30700,19940,,valid
1361258,2026-01-26,100.00,ACH/EFT,ACH,Tithes - Impact Church,1078826,33065,19940,,valid
1361189,2026-01-26,50.00,ACH/EFT,ACH,Tithes - Impact Church,1078757,19888,19940,,valid
1361188,2026-01-26,500.00,ACH/EFT,ACH,Tithes - Impact Church,1078756,23829,19940,,valid
1361209,2026-01-26,40.00,ACH/EFT,ACH,Offering - Impact Church,1078777,31953,19940,,valid
1361236,2026-01-26,300.00,ACH/EFT,ACH,Offering - Impact Church,1078804,21001,19940,,valid
1361187,2026-01-26,41.00,ACH/EFT,ACH,Tithes - Impact Church,1078755,35200,19940,,valid
1361205,2026-01-26,300.00,ACH/EFT,ACH,Tithes - Impact Church,1078773,26846,19940,,valid
1361213,2026-01-26,18.04,Credit Card,Visa,Tithes - Impact Church,1078781,29830,,,valid
1361214,2026-01-26,20.00,Credit Card,Visa,Offering - Impact Church,1078782,29830,,,valid
1361199,2026-01-26,50.00,Credit Card,Visa,Tithes - Impact Church,1078767,33867,,,valid
1361203,2026-01-26,334.00,Credit Card,Visa,Tithes - Impact Church,1078771,24029,,,valid
1361177,2026-01-26,119.00,Credit Card,Visa,Tithes - Impact Church,1078745,20287,,,valid
1361172,2026-01-26,20.00,Credit Card,Visa,Tithes - Impact Church,1078740,36419,,,valid
1361193,2026-01-26,148.28,Credit Card,Visa,Tithes - Impact Church,1078761,33627,,,valid
1361225,2026-01-26,20.00,Credit Card,Visa,Offering - Impact Church,1078793,32760,,,valid
1361226,2026-01-26,0.40,Credit Card,Visa,Credit Card Processing Fees,1078794,32760,,,valid
1361231,2026-01-26,427.00,Credit Card,Visa,Tithes - Impact Church,1078799,22809,,,valid
1361182,2026-01-26,20.00,Credit Card,Visa,Annual Legacy  Gift,1078750,32085,,,valid
1361183,2026-01-26,1.99,Credit Card,Visa,Credit Card Processing Fees,1078751,32085,,,valid
1361181,2026-01-26,80.00,Credit Card,Visa,Tithes - Impact Church,1078749,32085,,,valid
1361200,2026-01-26,150.00,Credit Card,Visa,Tithes - Impact Church,1078768,33959,,,valid
1361201,2026-01-26,2.99,Credit Card,Visa,Credit Card Processing Fees,1078769,33959,,,valid
1361248,2026-01-26,35.00,Credit Card,Visa,Tithes - Impact Church,1078816,29080,,,valid
1361206,2026-01-26,5.00,Credit Card,Visa,Tithes - Impact Church,1078774,30255,,,valid
1361207,2026-01-26,100.00,Credit Card,Visa,Offering - Impact Church,1078775,30255,,,valid
1361208,2026-01-26,2.09,Credit Card,Visa,Credit Card Processing Fees,1078776,30255,,,valid
1361220,2026-01-26,449.00,Credit Card,Visa,Tithes - Impact Church,1078788,25531,,,valid
1361197,2026-01-26,12.00,Credit Card,Mastercard,Tithes - Impact Church,1078765,34233,,,valid
1361198,2026-01-26,0.24,Credit Card,Mastercard,Credit Card Processing Fees,1078766,34233,,,valid
1361195,2026-01-26,25.00,Credit Card,Visa,Offering - Impact Church,1078763,34311,,,valid
1361196,2026-01-26,0.50,Credit Card,Visa,Credit Card Processing Fees,1078764,34311,,,valid
1361246,2026-01-26,61.00,Credit Card,Visa,Tithes - Impact Church,1078814,29284,,,valid
1361194,2026-01-26,350.00,Credit Card,Visa,Tithes - Impact Church,1078762,35370,,,valid
1361162,2026-01-26,160.00,Credit Card,Visa,Tithes - Impact Church,1078730,36945,,,valid
1361169,2026-01-26,21.00,Credit Card,Visa,Offering - Impact Church,1078737,36947,,,valid
1361217,2026-01-26,35.00,Credit Card,Mastercard,Tithes - Impact Church,1078785,19025,,,valid
1361218,2026-01-26,5.00,Credit Card,Mastercard,Offering - Impact Church,1078786,19025,,,valid
1361228,2026-01-26,50.00,Credit Card,Visa,Tithes - Impact Church,1078796,32770,,,valid
1361227,2026-01-26,400.00,Credit Card,Visa,Tithes - Impact Church,1078795,20271,,,valid
1361176,2026-01-26,3.18,Credit Card,Visa,Credit Card Processing Fees,1078744,30517,,,valid
1361174,2026-01-26,160.00,Credit Card,Visa,Tithes - Impact Church,1078742,30517,,,valid
1361266,2026-01-26,0.42,Credit Card,Mastercard,Credit Card Processing Fees,1078834,22581,,,valid
1361265,2026-01-26,21.00,Credit Card,Mastercard,Tithes - Impact Church,1078833,22581,,,valid
1361219,2026-01-26,330.00,Credit Card,Amex,Tithes - Impact Church,1078787,23445,,,valid
1361178,2026-01-26,10.00,Credit Card,Visa,Tithes - Impact Church,1078746,35916,,,valid
1361179,2026-01-26,0.20,Credit Card,Visa,Credit Card Processing Fees,1078747,35916,,,valid
1361164,2026-01-26,25.00,Credit Card,Visa,Tithes - Impact Church,1078732,35946,,,valid
1361224,2026-01-26,3.39,Credit Card,Visa,Credit Card Processing Fees,1078792,19755,,,valid
1361222,2026-01-26,150.00,Credit Card,Visa,Tithes - Impact Church,1078790,19755,,,valid
1361223,2026-01-26,20.00,Credit Card,Visa,Compassion Areas,1078791,19755,,,valid
1361261,2026-01-26,850.00,Credit Card,Visa,Tithes - Impact Church,1078829,31466,,,valid
1361184,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078752,35390,,,valid
1361251,2026-01-26,5.00,Credit Card,Visa,Missions,1078819,16553,,,valid
1361254,2026-01-26,20.00,Credit Card,Visa,Tithes - Impact Church,1078822,24774,,,valid
1361263,2026-01-26,20.00,Credit Card,Visa,Tithes - Impact Church,1078831,31240,,,valid
1361173,2026-01-26,50.00,Credit Card,Visa,Offering - Impact Church,1078741,34470,,,valid
1361233,2026-01-26,25.00,Credit Card,Visa,Tithes - Impact Church,1078801,28897,,,valid
1361221,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078789,31325,,,valid
1361163,2026-01-26,20.00,Credit Card,Visa,Offering - Impact Church,1078731,36885,,,valid
1361234,2026-01-26,75.00,Credit Card,Visa,Tithes - Impact Church,1078802,28897,,,valid
1361167,2026-01-26,10.00,Credit Card,Visa,Offering - Impact Church,1078735,36817,,,valid
1361238,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078806,24325,,,valid
1361240,2026-01-26,30.00,Credit Card,Visa,Offering - Impact Church,1078808,32554,,,valid
1361264,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078832,24444,,,valid
1361267,2026-01-26,25.00,Credit Card,Visa,Tithes - Impact Church,1078835,21465,,,valid
1361168,2026-01-26,10.00,Credit Card,Visa,Offering - Impact Church,1078736,36819,,,valid
1361250,2026-01-26,50.00,Credit Card,Visa,Tithes - Impact Church,1078818,20162,,,valid
1361269,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078837,31635,,,valid
1361239,2026-01-26,250.00,Credit Card,Visa,Tithes - Impact Church,1078807,32554,,,valid
1361185,2026-01-26,30.00,Credit Card,Visa,Tithes - Impact Church,1078753,35213,,,valid
1361202,2026-01-26,30.00,Credit Card,Visa,Offering - Impact Church,1078770,33263,,,valid
1361235,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078803,16514,,,valid
1361253,2026-01-26,50.00,Credit Card,Visa,Tithes - Impact Church,1078821,16553,,,valid
1361252,2026-01-26,20.00,Credit Card,Visa,Offering - Impact Church,1078820,16553,,,valid
1361230,2026-01-26,2.29,Credit Card,Visa,Credit Card Processing Fees,1078798,21605,,,valid
1361229,2026-01-26,115.00,Credit Card,Visa,Tithes - Impact Church,1078797,21605,,,valid
1361165,2026-01-26,20.00,Credit Card,Visa,Tithes - Impact Church,1078733,21551,,,valid
1361257,2026-01-26,2.99,Credit Card,Visa,Credit Card Processing Fees,1078825,16747,,,valid
1361256,2026-01-26,50.00,Credit Card,Visa,Annual Legacy  Gift,1078824,16747,,,valid
1361255,2026-01-26,100.00,Credit Card,Visa,Tithes - Impact Church,1078823,16747,,,valid
1361212,2026-01-25,0.80,Credit Card,Visa,Credit Card Processing Fees,1078780,24033,,,valid
1361211,2026-01-25,40.00,Credit Card,Visa,Tithes - Impact Church,1078779,24033,,,valid
1361268,2026-01-25,255.00,Credit Card,Visa,Tithes - Impact Church,1078836,20658,,,valid
1361180,2026-01-25,200.00,Credit Card,Visa,Tithes - Impact Church,1078748,35848,,,valid
1361171,2026-01-25,7.00,Credit Card,Visa,Offering - Impact Church,1078739,23690,,,valid
1361175,2026-01-25,30.00,Credit Card,Visa,Offering - Impact Church,1078743,27693,,,valid
1361242,2026-01-25,25.00,ACH/EFT,ACH,Legacy Local Outreach,1078810,17322,19940,,valid
1361204,2026-01-25,2000.00,ACH/EFT,ACH,Tithes - Impact Church,1078772,33396,19940,,valid
1361260,2026-01-25,150.00,ACH/EFT,ACH,Tithes - Impact Church,1078828,32935,19940,,valid
1361259,2026-01-25,120.00,ACH/EFT,ACH,Tithes - Impact Church,1078827,25188,19940,,valid
1361243,2026-01-25,50.00,ACH/EFT,ACH,Legacy Impact Projects,1078811,17322,19940,,valid
1361241,2026-01-25,25.00,ACH/EFT,ACH,Legacy Next Gen,1078809,17322,19940,,valid
1361192,2026-01-25,15.00,Credit Card,Visa,Tithes - Impact Church,1078760,36431,,,valid
1361191,2026-01-25,1.00,Credit Card,Visa,Credit Card Processing Fees,1078759,34992,,,valid
1361190,2026-01-25,50.00,Credit Card,Visa,Tithes - Impact Church,1078758,34992,,,valid
1361186,2026-01-25,30.00,Credit Card,Visa,Tithes - Impact Church,1078754,35084,,,valid
1361166,2026-01-25,10.00,Credit Card,Visa,Tithes - Impact Church,1078734,33343,,,valid
1361245,2026-01-25,60.00,Credit Card,Visa,Offering - Impact Church,1078813,26961,,,valid
1361244,2026-01-25,476.00,Credit Card,Visa,Tithes - Impact Church,1078812,26961,,,valid
1361081,2026-01-25,262.07,Credit Card,Visa,Tithes - Impact Church,1078649,33821,19941,,valid
1361021,2026-01-25,65.00,Credit Card,Mastercard,Tithes - Impact Church,1078589,30601,19941,,valid
1361122,2026-01-25,2.49,Credit Card,Visa,Credit Card Processing Fees,1078690,32523,19941,,valid
1361121,2026-01-25,125.00,Credit Card,Visa,Tithes - Impact Church,1078689,32523,19941,,valid
1360922,2026-01-25,25.00,Credit Card,Visa,Offering - Impact Church,1078490,36737,19941,,valid
1360923,2026-01-25,0.50,Credit Card,Visa,Credit Card Processing Fees,1078491,36737,19941,,valid
1360965,2026-01-25,0.50,Credit Card,Visa,Credit Card Processing Fees,1078533,35873,19941,,valid
1360964,2026-01-25,25.00,Credit Card,Visa,Offering - Impact Church,1078532,35873,19941,,valid
